                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5774,                 2.4374,                 1.3158,                0.34839,                0.37066,                0.34281,                0.19508,                 1.3172,                 1.7626,                 1.1773,             0.00047355,             0.00047355,             0.00047355
                      2,                 1.3143,                 1.3989,                 1.1244,                0.53171,                0.45789,                0.48024,                 0.2863,                 1.2098,                 1.3126,                 1.1467,             0.00094612,             0.00094612,             0.00094612
                      3,                 1.3043,                  1.284,                 1.1211,                0.67511,                0.49717,                0.52366,                0.32678,                 1.1571,                 1.7368,                 1.1449,              0.0014149,              0.0014149,              0.0014149
                      4,                 1.2538,                 1.1711,                 1.1057,                0.56565,                0.46973,                0.48945,                0.29332,                 1.2191,                 1.3162,                 1.1533,               0.001412,               0.001412,               0.001412
                      5,                 1.2204,                 1.0925,                 1.0947,                0.81993,                0.49081,                0.54899,                0.32198,                 1.1594,                 1.2285,                  1.111,               0.001412,               0.001412,               0.001412
                      6,                 1.1835,                 1.0217,                 1.0923,                0.62682,                0.53402,                0.56504,                0.33724,                  1.205,                 1.0272,                 1.1924,              0.0014064,              0.0014064,              0.0014064
                      7,                 1.2094,                0.97529,                 1.0943,                0.69706,                 0.5438,                0.58551,                0.35283,                 1.1738,                0.89242,                 1.1397,              0.0014007,              0.0014007,              0.0014007
                      8,                 1.2043,                0.94582,                 1.0754,                 0.7556,                0.50535,                0.57463,                0.32669,                  1.173,                0.88171,                 1.1223,               0.001395,               0.001395,               0.001395
                      9,                 1.1945,                0.90048,                 1.0621,                0.64505,                0.54771,                0.60996,                0.37837,                 1.1022,                0.85801,                 1.0801,              0.0013894,              0.0013894,              0.0013894
                     10,                 1.1495,                 0.8504,                  1.056,                0.67922,                 0.6041,                0.63729,                0.37783,                 1.1897,                 0.7838,                 1.1535,              0.0013837,              0.0013837,              0.0013837
                     11,                 1.1662,                0.86259,                  1.073,                0.57346,                0.59212,                0.59947,                0.35864,                 1.1348,                0.78222,                 1.1166,              0.0013781,              0.0013781,              0.0013781
                     12,                 1.1662,                0.83376,                 1.0668,                 0.7256,                0.57658,                0.65676,                0.38344,                 1.1205,                0.76535,                 1.1121,              0.0013724,              0.0013724,              0.0013724
                     13,                 1.1355,                0.80849,                 1.0609,                0.77292,                0.57089,                0.68195,                0.41551,                 1.1273,                0.71518,                  1.109,              0.0013668,              0.0013668,              0.0013668
                     14,                 1.1505,                0.77049,                 1.0524,                0.83596,                 0.5764,                0.65542,                0.39241,                 1.1005,                0.75391,                 1.1005,              0.0013611,              0.0013611,              0.0013611
                     15,                 1.1203,                0.76294,                 1.0381,                0.70526,                0.59543,                0.66025,                0.40966,                 1.1042,                0.73408,                 1.1052,              0.0013554,              0.0013554,              0.0013554
                     16,                 1.1474,                 0.7564,                 1.0491,                0.63244,                0.62916,                0.63763,                0.38868,                 1.1034,                0.71296,                 1.0947,              0.0013498,              0.0013498,              0.0013498
                     17,                 1.1315,                0.74319,                 1.0392,                0.80689,                0.60004,                 0.7059,                 0.4305,                 1.0697,                 0.6847,                 1.0672,              0.0013441,              0.0013441,              0.0013441
                     18,                 1.0854,                0.70771,                 1.0289,                0.63974,                0.64337,                0.64699,                0.39584,                  1.117,                0.71668,                 1.0935,              0.0013385,              0.0013385,              0.0013385
                     19,                 1.0939,                0.73106,                 1.0388,                0.72243,                0.61973,                0.67532,                0.42463,                 1.0556,                0.70177,                 1.0843,              0.0013328,              0.0013328,              0.0013328
                     20,                 1.1096,                0.73385,                 1.0265,                0.79735,                0.57805,                0.67204,                 0.4036,                 1.1148,                 0.7552,                 1.0913,              0.0013271,              0.0013271,              0.0013271
                     21,                 1.0899,                0.72229,                 1.0316,                 0.7714,                0.63237,                0.71262,                0.43372,                 1.0885,                0.68722,                 1.0954,              0.0013215,              0.0013215,              0.0013215
                     22,                 1.0965,                0.70477,                 1.0421,                0.73466,                0.67856,                0.70719,                0.44053,                 1.0953,                0.66626,                 1.0825,              0.0013158,              0.0013158,              0.0013158
                     23,                 1.0727,                0.69286,                 1.0243,                0.78096,                0.62432,                 0.7242,                0.43982,                 1.0752,                0.66932,                 1.0715,              0.0013102,              0.0013102,              0.0013102
                     24,                 1.0695,                0.66497,                 1.0115,                0.84479,                0.61963,                0.71453,                0.43722,                 1.0591,                0.65018,                 1.0576,              0.0013045,              0.0013045,              0.0013045
                     25,                 1.1003,                0.68609,                  1.023,                0.75706,                0.66306,                0.72469,                0.46122,                  1.077,                0.65262,                 1.0813,              0.0012988,              0.0012988,              0.0012988
                     26,                 1.0566,                0.64821,                 1.0101,                0.67622,                0.61436,                0.67561,                0.41569,                 1.1215,                0.67711,                 1.0919,              0.0012932,              0.0012932,              0.0012932
                     27,                 1.0689,                0.68621,                 1.0189,                0.75518,                0.64048,                0.71321,                0.44327,                 1.0626,                0.62558,                  1.058,              0.0012875,              0.0012875,              0.0012875
                     28,                 1.0756,                0.66445,                 1.0224,                0.83736,                0.60892,                0.69592,                0.44276,                 1.0747,                 0.6669,                 1.0628,              0.0012819,              0.0012819,              0.0012819
                     29,                 1.0689,                0.66961,                  1.019,                 0.8418,                0.59966,                0.69905,                0.42817,                 1.0631,                 0.6437,                 1.0648,              0.0012762,              0.0012762,              0.0012762
                     30,                  1.061,                0.65014,                 1.0231,                0.79086,                0.65399,                0.74652,                0.46249,                  1.083,                0.63201,                 1.0723,              0.0012706,              0.0012706,              0.0012706
                     31,                 1.0521,                0.63719,                 1.0097,                0.76884,                0.62858,                0.73257,                0.45611,                  1.051,                 0.6202,                 1.0639,              0.0012649,              0.0012649,              0.0012649
                     32,                 1.0862,                0.65299,                  1.023,                0.87494,                0.60844,                0.71443,                0.44049,                 1.0829,                0.62746,                 1.0772,              0.0012592,              0.0012592,              0.0012592
                     33,                 1.0302,                0.62088,                 1.0079,                0.81597,                 0.6676,                 0.7483,                0.45917,                 1.1067,                0.61835,                 1.0935,              0.0012536,              0.0012536,              0.0012536
                     34,                 1.0382,                0.62479,                 1.0125,                0.74822,                0.69815,                0.75315,                0.46715,                 1.0624,                0.60896,                 1.0666,              0.0012479,              0.0012479,              0.0012479
                     35,                 1.0529,                0.62222,                 1.0068,                0.75511,                0.66848,                0.73781,                0.45486,                 1.0982,                0.60244,                 1.0902,              0.0012423,              0.0012423,              0.0012423
                     36,                 1.0648,                0.63213,                 1.0151,                0.76172,                0.64396,                0.72651,                 0.4648,                 1.0546,                0.59457,                 1.0638,              0.0012366,              0.0012366,              0.0012366
                     37,                 1.0514,                0.63191,                 1.0149,                0.70795,                0.66836,                0.69881,                0.42915,                 1.0498,                0.59011,                 1.0538,              0.0012309,              0.0012309,              0.0012309
                     38,                 1.0476,                0.63001,                 1.0076,                0.82744,                0.66084,                0.74275,                0.45972,                 1.0637,                0.62067,                 1.0624,              0.0012253,              0.0012253,              0.0012253
